,h3_9,age_20,age_20_30,age_30_40,age_40_60,age_60,male,female,car_owners,carsharing_user,not_citizen_rf,public_trnsprt_user,healthy_food_inter,salary_1,salary_2,salary_3,salary_4,salary_5
0,8911063244fffff,0,0,8,3,1,7,5,4,5,2,0,0,1,6,2,2,1
1,891106074d7ffff,0,13,3,2,1,4,17,16,1,17,0,0,2,1,14,0,1
2,8911062a87bffff,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
3,89110615e0fffff,0,2,11,20,15,46,19,14,0,22,1,0,33,12,2,7,4
4,892d721010bffff,0,0,2,1,1,3,1,0,0,0,0,0,2,1,0,0,0
5,8911030c32fffff,0,2,2,0,1,1,4,2,1,1,0,0,0,1,1,1,1
6,89118e89d97ffff,0,0,0,0,14,0,14,0,0,0,0,0,14,0,0,0,0
7,891f6ca75c3ffff,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
8,89110604b47ffff,1,88,68,53,70,105,179,127,115,159,71,8,146,52,24,11,44
9,8910b4425abffff,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10,892d40a6acbffff,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11,89110602883ffff,0,55,53,112,41,157,127,61,14,152,1,1,56,54,22,61,35
12,891133636a3ffff,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
13,8911060d0bbffff,0,0,4,1,0,5,0,0,0,0,0,0,1,3,0,0,1
14,890b9a74d9bffff,0,0,0,1,0,7,0,1,0,1,0,0,0,0,0,0,0
15,892d5685497ffff,0,0,0,7,1,6,2,0,0,6,0,0,0,1,0,0,0
16,89110606b67ffff,26,57,64,181,55,137,249,209,72,167,25,1,136,27,58,58,46
17,89110605d9bffff,0,3,3,3,0,5,4,9,7,4,0,0,3,2,0,3,1
18,892d561705bffff,0,0,1,1,0,1,2,1,0,1,0,0,1,0,0,0,0
19,8911029a96fffff,0,0,8,1,0,0,9,0,0,9,0,0,7,1,0,0,0
20,8910354317bffff,0,0,0,6,6,17,0,2,0,12,0,0,2,0,4,5,0
21,8911aa66c4fffff,0,0,0,27,0,27,0,27,0,27,0,0,27,0,0,0,0
22,891106a9d43ffff,0,0,2,5,1,2,6,2,1,6,1,0,4,1,1,1,0
23,8911068f363ffff,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
24,8911321a62fffff,0,0,2,1,3,7,1,1,0,3,0,0,4,0,2,0,0
25,891106009afffff,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
26,891181b2a57ffff,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
27,8910a59ae43ffff,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0
28,891106002a7ffff,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
29,8911062821bffff,1,2,21,47,28,45,56,8,1,36,0,1,63,7,2,1,9
30,891106a444fffff,0,6,30,21,2,15,44,14,2,41,1,1,6,10,13,0,2
31,8911060527bffff,0,1,13,0,22,15,21,13,5,7,5,0,22,1,0,8,5
32,891106126a7ffff,0,0,0,7,0,6,3,6,0,3,0,2,3,4,2,0,0
33,890b9a7402bffff,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,89110676a53ffff,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,892d7350a33ffff,0,0,11,0,0,11,0,11,0,11,0,0,0,11,0,0,0
36,89119eca4b7ffff,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,4
37,89212d909abffff,0,0,0,8,0,8,0,0,0,8,0,0,0,0,0,8,0
38,891106159b3ffff,0,18,35,184,114,193,199,122,60,129,1,11,126,126,9,44,10
39,89119985c93ffff,0,1,1,0,0,0,2,1,0,1,0,0,1,0,0,1,0
40,89110614e07ffff,0,0,0,4,0,2,4,0,0,1,0,0,3,1,0,0,0
41,89113371883ffff,16,55,61,73,46,126,157,125,36,150,4,1,53,56,99,37,8
42,891102501a7ffff,0,0,0,3,0,3,0,0,0,3,3,0,0,0,0,3,0
43,8911060504bffff,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
44,892d40d0107ffff,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0
45,891106a864bffff,0,0,2,4,3,4,5,2,2,6,1,1,1,2,2,0,1
46,89110614c83ffff,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
47,891036708cbffff,0,3,2,0,0,7,0,3,3,5,0,0,0,0,0,0,3
48,8911aa6854fffff,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
49,89110615307ffff,0,7,0,5,3,12,3,3,3,9,0,1,2,0,0,2,2
50,8911867a493ffff,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0
51,89118e441cfffff,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
52,891106ab16bffff,0,0,5,2,1,5,3,2,0,5,0,0,6,1,1,0,0
53,89108dc328fffff,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,0,2
54,891106072b3ffff,0,3,29,32,12,35,46,32,20,37,0,2,36,6,11,3,8
55,891100d6207ffff,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
56,8911060c3a7ffff,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
57,89110628e33ffff,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0
58,892d48029c3ffff,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
59,890a9ddb697ffff,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0
60,891106a45c3ffff,0,37,78,67,0,155,71,61,32,133,3,0,62,2,81,3,1
61,891106ab3abffff,0,13,22,49,8,42,52,25,9,68,8,0,40,29,8,12,1
62,89111cc749bffff,0,24,132,272,9,300,162,196,11,242,1,1,123,70,157,84,3
63,89118e901d7ffff,0,0,0,4,0,2,2,1,0,3,0,0,0,2,0,0,0
64,892d4499eabffff,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
65,8911046e66bffff,0,0,0,3,0,1,2,1,1,3,0,0,1,0,0,1,0
66,891106a8c93ffff,0,1,5,2,6,10,6,6,5,1,0,0,11,1,1,0,1
67,8911812ec3bffff,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
68,8911060748fffff,0,0,2,1,0,2,1,0,0,0,0,0,0,1,0,2,0
69,8911a8c240fffff,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,89110614b23ffff,0,19,3,42,1,31,34,8,3,48,0,2,24,21,10,0,0
71,891110b74b3ffff,1,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0
72,89110629d1bffff,0,2,0,1,2,1,4,2,0,3,0,0,4,1,0,0,0
73,890ab482aa7ffff,0,0,0,14,0,0,14,0,0,14,0,0,14,0,0,0,0
74,89110611eb7ffff,0,0,4,4,3,8,3,1,0,4,0,0,1,1,3,0,1
75,89110605397ffff,0,0,0,7,0,0,7,6,0,6,0,0,1,6,0,0,0
76,8911aa7a4c7ffff,0,0,4,2,1,3,4,2,0,3,0,0,0,0,1,5,0
77,89113362357ffff,0,1,1,0,0,1,1,2,0,2,0,0,0,0,0,0,1
78,89110606407ffff,0,7,39,67,15,82,50,41,11,77,13,2,53,17,23,12,4
79,891106a9217ffff,0,0,1,3,1,4,1,4,1,2,0,0,1,2,0,2,0
80,89110670507ffff,0,0,2,1,3,2,4,4,1,3,0,0,4,1,0,0,0
81,89110653277ffff,0,9,16,175,65,189,78,154,21,68,8,0,5,1,114,14,128
82,89110606c37ffff,0,4,1,10,2,18,7,5,3,3,0,1,15,2,0,0,1
83,891106141abffff,0,21,98,110,45,150,163,111,34,132,18,0,80,30,66,1,4
84,8911060652fffff,0,0,3,1,8,2,10,2,0,6,0,0,0,2,6,0,2
85,89119e83363ffff,0,0,1,2,0,2,1,1,0,2,0,0,0,3,0,0,0
86,89110425ea3ffff,0,1,2,13,9,26,15,8,7,14,0,0,30,1,4,3,1
87,8911337b6b3ffff,0,0,0,2,0,0,2,2,0,2,0,0,2,0,0,0,0
88,8911060c14fffff,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
89,891102501bbffff,0,0,0,2,1,3,0,0,0,1,0,0,3,0,0,0,0
90,89110eb5ed3ffff,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
91,891106ccb9bffff,0,0,4,6,10,12,9,13,3,17,0,0,16,1,0,0,3
92,89110441e97ffff,0,1,0,2,0,0,3,0,0,3,0,0,0,1,0,0,2
93,891131283dbffff,0,6,38,296,2,253,107,167,61,218,2,3,151,45,45,1,47
94,892d48ae633ffff,0,0,1,0,5,6,0,1,0,0,0,0,5,0,0,0,1
95,891106c6d0bffff,0,0,0,9,0,0,9,0,0,0,0,0,9,0,0,0,0
